,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
1297,-23.192970084749746,-54.43745992240569,0.1211,0.0938,0.0947,0.0725,0.1178,0.2969,0.3731,0.3654,0.047,0.0016,0.2925,0.1553,0.4011,55.35628794004593,3.626188468288552,19.247816150710324,11.34962421903171,4.3293813401301495,2.7672749346817387,48.80067105425916,8.446293501734104,165.19302484605154,74.4283555942069,27.55589642320277,2.0048745807468755,0.8611490362042822,207.31020507059532,0.9415874310837004,1020.0300490027768,27.98798531652902,0.6904063179193288,-0.1444557685100668,-0.0328863708391225,-0.3168164552172915,0.5194932897269993,1.403204357116767,-0.1786568712066835,0.7616589259057679,-4.112896178572248,2.639318735040189,0.4521400285449378,-0.7023103355652139,-0.2402148973705129,11.551016205930308
3675,-23.19503135497441,-54.43745992240569,0.1234,0.1003,0.1049,0.1028,0.1355,0.277,0.3425,0.3088,0.0463,0.0014,0.3244,0.1891,0.3736,52.01586519021728,4.121874081475712,22.363432186516363,10.422827976622724,4.103770249749695,2.8374861081921035,49.37903019977792,8.809705016819734,138.62533223179656,69.83155662493867,30.38225426810097,3.03349607634986,0.6925312667185802,158.98817620176013,1.4248324268934396,894.2086593168798,37.03212709708422,0.5110514732238913,-0.3561819997452225,0.4682017833236279,0.3198634971723565,0.2073606775413577,1.0183206564087512,0.0085181224490972,0.733449178744433,-3.745954912110146,1.6488871997650951,0.3024720281836981,-0.434118606752886,-0.1900548417458441,9.45307085915601
5934,-23.19709262519909,-54.43745992240569,0.1232,0.097,0.1012,0.0836,0.1289,0.3063,0.3864,0.3653,0.0475,0.0014,0.3206,0.1752,0.4157,53.15678972607952,3.756572293583452,21.56767528570127,10.897635387500577,4.222007563691602,2.776988979552444,48.17343460840956,8.181560392511233,130.3065533362265,64.34272276321514,24.709221121098757,2.7758573557395247,0.6806254499447407,151.4147153321802,3.9654221122788327,784.9396442782886,26.812991024132216,0.5300401234738612,-0.1802078497104615,0.2571118923380171,0.325202597815621,0.5178923816832095,1.386598089116035,0.0830576800524251,0.7879349589490106,-4.0774839618929,1.5993583397459388,0.1999184792398401,-0.7612926029840998,-0.1099805440529831,10.284871810122953
8072,-23.19915389542377,-54.43754979382463,0.1225,0.0977,0.1015,0.087,0.1282,0.3025,0.3778,0.3472,0.0492,0.0015,0.3169,0.1739,0.4092,53.25276881142951,3.9990432004648575,20.385881313320247,11.251549586093892,4.340121830756271,2.8299347128953283,49.32011169049527,7.703486520080262,125.32107916204949,71.74929547964081,30.45942121459352,2.5179249500444403,0.6067689573953804,145.42594042373634,3.169364824874793,830.0466933797637,24.700746983562944,0.4997497113710254,-0.1920675183309849,0.4768999467854013,0.0439971470426002,0.6252850302901254,1.5316946464776058,0.1088527940813991,0.8935250308338971,-4.691232379923111,1.3034198023889054,0.4303112307316818,-0.354423168061074,-0.181915663658007,10.837851068061088
1611,-23.193217437176703,-54.435572622607936,0.1218,0.0979,0.1008,0.0954,0.1315,0.2836,0.3541,0.3145,0.0467,0.0014,0.3134,0.1754,0.3839,51.52434440930685,3.9900972699841377,19.752466192441197,11.62134797581334,4.393249700605162,2.791205351185673,48.527739837888085,8.506539123265746,144.97459352540537,81.08454429571624,32.70236531045397,3.088106192615722,0.8684836859280743,175.5831533690133,3.322795513378234,971.2208895199012,22.71187095038676,0.6095898677845975,-0.4277322920539256,0.3340977051167137,-0.2381010824679587,0.6060890508409952,1.4059273287859624,-0.1387581953927959,0.6739408083950272,-4.126138433016618,1.820298198562276,0.6497018635848654,-0.310247144281685,-0.2604679234394993,11.005873372311871
3972,-23.195278707401386,-54.43566249402688,0.1214,0.0959,0.0993,0.0772,0.1227,0.3273,0.4175,0.3844,0.0498,0.0014,0.3138,0.16,0.4496,54.00434534868102,3.8716569815437,20.79560529601088,10.897416207514182,4.5176401855242325,2.7806773100401228,48.59830442916054,8.4042329765411,121.73916722496408,74.93622067592224,29.42763538330909,1.0400657742664063,0.898663518109555,141.92438754324496,1.2486749384847329,902.8212537056536,24.850037183580863,0.5792570123499446,-0.1905398241118622,0.2835252400441662,0.065183321171048,0.4295323184523429,1.6818697837644905,0.0125696361519623,0.7523645031939344,-4.051231478699505,1.146205356389945,0.5063242497409098,-0.4427678893294235,-0.1985585384093537,9.749359773362624
6128,-23.19725752681707,-54.43566249402688,0.1221,0.0953,0.1004,0.0792,0.1251,0.3211,0.4055,0.3791,0.0489,0.0015,0.3172,0.1666,0.4411,54.51988399866899,3.931437259251556,21.116338194351897,11.03443177348515,4.453294430721178,2.887928478656049,48.17893761793773,8.46277513542222,112.37288203239214,68.94666975868182,25.91312644502369,2.034869698931777,0.7598709831137299,135.87985289122156,2.768980694885024,901.3300163170402,25.721564461244103,0.5081960531150927,-0.1411712044218357,0.3852145661477147,0.1643623236677099,0.5083395425828552,1.6341690668413886,0.2428109689948402,0.7320438240609406,-3.910503185546161,0.8696342787598667,0.3310876528133656,-0.6490914155234789,-0.1613146757550305,9.73833427887594
8258,-23.199318797041744,-54.435752365445815,0.1236,0.0992,0.1021,0.0925,0.1317,0.2905,0.3623,0.3338,0.048,0.0014,0.3249,0.1842,0.3918,53.78540120314478,3.902204395377105,22.954927857250755,10.88996466501153,4.130918742295053,2.8591607834370265,47.13978074036991,8.696863227827789,124.69940793355012,74.2686416161601,30.662805539531817,2.40839346434739,0.9500469189590012,148.78155414258947,3.209372068971436,932.8542681483372,27.070722502988215,0.5402574752630376,-0.2308701499443437,0.3035343927703399,0.478386496224532,0.3996355366003465,1.079538509774475,0.0998236126777489,0.5600545883657094,-3.792464937686298,1.2027372881853138,0.4603334681392678,-0.3794643883653472,-0.1799119282527675,9.154528344358754
1920,-23.193464789603667,-54.43368532281018,0.1238,0.1004,0.1049,0.0954,0.1337,0.2941,0.3645,0.338,0.0462,0.0014,0.3246,0.1822,0.3982,54.30723340889881,4.060855844281814,20.334065772122663,11.20925782228932,4.196909992575736,2.912451312529408,44.48898127946824,9.23851508429962,163.49779754039167,74.7345042079674,35.348520821899015,1.6800107901551051,0.6880191471692229,188.98383828645592,2.427792665902395,981.3691685464394,26.519151727295352,0.6083758240043259,-0.2995727632574027,0.3315380442079672,-0.1773809010561896,0.3678270641616402,1.0056222236044907,-0.0757436840711864,0.186743677715425,-3.5729010025036128,2.3355014239904173,0.3853803935679165,-0.2110305383066292,-0.2696508476917632,9.234405390987911
4177,-23.19544360901936,-54.43377519422913,0.1225,0.0965,0.1003,0.0804,0.1267,0.3173,0.402,0.372,0.0487,0.0014,0.3198,0.1668,0.4337,55.946150974207264,3.8410561968297503,23.623404066529325,11.564472893494765,4.259733948725677,2.9031008308699984,47.9678584636885,9.950028835123884,125.78683502888236,77.41547548715467,33.93452469726155,1.1873502342932578,0.7483273957681313,149.9768156084896,1.1746083516424095,1015.9334633842147,40.9758902216437,0.521235755479819,-0.231565761409434,0.0678737142379831,0.415058328204889,0.4640687066299177,0.997241338240686,0.0085947870161257,0.4509506549770529,-3.099954489613935,1.0542770229324117,0.4577435838434709,-0.2412146171427285,-0.3118490912278698,7.77670341428579
6409,-23.19750487924403,-54.433865065648064,0.1219,0.0981,0.103,0.0895,0.1314,0.297,0.3703,0.3464,0.0494,0.0015,0.3186,0.1804,0.398,54.83700198658909,4.106531909722972,22.45511939866081,11.179815958269373,4.341817087946285,2.80020574665942,49.60207670368902,8.32291921163659,123.62529142076788,72.3692435264289,31.62764234213769,2.0642500118719003,0.7423160556272155,142.58281769554486,3.1516377235183377,949.8666326694308,33.605509858249775,0.4122133408736842,-0.1820169406036421,0.4704116548385881,0.3459178992564529,0.4932855955330805,1.3517502783716495,0.0003765870073657,0.7663848119131585,-4.235614729865754,1.1438721962612546,0.3869397147202673,-0.3234913628328928,-0.2532474040305186,9.961661020874336
8442,-23.19948369865972,-54.43395493706701,0.1263,0.1035,0.1071,0.1074,0.1419,0.2719,0.3309,0.3056,0.046,0.0017,0.3397,0.2068,0.3629,51.893094562850536,4.525160879072869,25.32179259450346,10.36709733728625,4.218312092163044,2.99433032162619,48.08516617604108,10.235980273754668,127.88660480628128,81.55358288715428,34.390429221275404,3.341165636382597,0.7586874961844068,150.55787116200298,2.482958661990707,1144.3158499240135,25.249529489843745,0.4710096735172234,-0.4869939304987907,0.6327189695921313,0.6305053215053835,-0.0285779613928531,0.8586090283260606,0.0513892394163334,0.3568428665319371,-3.0285376866121982,1.047643816208751,0.5517695322790608,-0.2533448009037852,-0.3506915594296598,8.298294094746632
2229,-23.193712142030627,-54.43179802301243,0.1228,0.0968,0.1023,0.0862,0.1277,0.3011,0.3755,0.3504,0.0489,0.0014,0.318,0.1727,0.4083,53.99976200059476,4.153450624470588,23.56158217506006,10.594084156971483,4.166313352846831,2.99892510430106,46.58356469820913,9.28527558733448,128.69798589370484,68.13815441148733,33.60755709891881,3.30779016553082,0.6711653526272484,161.88175025355332,3.212001045947019,995.2668223870924,35.27647741853815,0.4293200937254562,-0.2811466935508411,0.4490070408965302,0.4890986189701575,0.2096695342805427,0.9916069814911148,0.2060130083081351,0.4074091806498034,-3.433017646982952,1.200736096635373,0.2100640861617914,-0.2331576743458417,-0.2296919489135521,8.346084926524533
4471,-23.19569096144632,-54.43197776585031,0.1215,0.0957,0.1,0.0777,0.1233,0.3227,0.4038,0.3756,0.05,0.0016,0.3111,0.1628,0.4389,55.1636382319173,4.480337803579668,24.182277405065395,10.669948186777576,4.127397061263451,2.9401325572258274,48.3891230460084,9.322791049505676,150.7781965827728,73.50076557168379,33.42287474723946,3.908309884711632,0.7912251473700077,162.51278906810688,2.2471143508972213,1020.8765856648332,48.85350397262784,0.6012289641551996,-0.2903475273602089,0.6367531676690714,0.4875803922133248,0.1238367498030772,0.8191700471823713,-0.0596892766309716,0.4405212939604158,-3.651169562682018,1.8450571731768344,0.3139510713051211,-0.3401423407113723,-0.3516208887185599,9.386068076308284
6603,-23.197669780862004,-54.432067637269256,0.1239,0.1006,0.1037,0.1066,0.1364,0.2741,0.3367,0.3046,0.0463,0.0015,0.3138,0.1887,0.3692,52.02940073135731,4.074647348007796,23.131414773552294,10.639824911629354,4.264991942990514,3.005054333774828,49.145150425941566,8.471694961175713,180.3386656414255,90.49245133147086,31.920200025839616,2.2409380166800585,0.9810270612086228,178.97714383883482,1.5913899381827412,975.0718958437624,31.79993763465944,0.7412108145865184,-0.4848130169744328,0.2626436325900088,0.3250750076002237,0.079085998270565,1.059723338502961,-0.0868410312739912,0.5470222588697702,-4.477955003066198,2.854441715819439,0.8727607990545261,-0.506868514428477,-0.4095111301238297,11.951049281074344
8625,-23.19964860027769,-54.432247380107135,0.1268,0.1042,0.1079,0.1085,0.1452,0.2766,0.3374,0.3167,0.046,0.0015,0.3447,0.2069,0.3733,42.76921106160546,4.361511836778558,25.019424005102376,9.8179263815161,4.141986172891116,3.011093952127648,46.93315878796104,8.948346760043682,146.44275180087718,78.85381082635256,31.801297009971236,2.3118602218153823,0.8570223771124477,169.83942127130103,1.7066121977866786,932.1979648784824,39.20392716924084,0.5873019181731501,-0.9955855174980156,0.6315104300672398,0.7642881785114976,-0.0854366323730772,0.9768079684269256,0.1667151870004149,0.4264541560476902,-3.742621791662972,1.8421019369283005,0.5871850094652755,-0.3775408589788455,-0.2111106220562814,10.854886619435629
