N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
46.128,5.1625000000000005,16.906499999999998,7.6739999999999995,2.6654999999999998,1.8015,30.785500000000003,8.968,126.07950000000001,85.94399999999999,40.544500000000006,1.2275000000000003,1.784,117.59349999999999,4.456500000000001,1108.6215,16.642500000000002,0.22749999999999998,-0.295,1.8650000000000002,-0.22799999999999992,-0.47350000000000003,-0.2725,-1.3005,-0.6425000000000002,-2.5460000000000003,1.7880000000000003,1.2325,0.4485,0.48950000000000005,12.084
5.86710777847233,0.4235423920869514,1.656506390284273,0.4383869955812294,0.12019611168069408,0.11324286895174039,2.2358902030287617,1.1867851310866768,69.66306137968294,8.375732740922937,2.542720207303898,0.4256001953897454,0.27079609730531473,40.88293187485715,0.7105985245959177,150.26048863556915,6.502053015859886,0.1649521461706873,0.3252772097118007,0.6079170649806903,0.8244781443593977,0.36522919984723656,0.5328066203950944,0.7234746203674248,0.3532238741409729,0.6611982742678152,2.4947198977883374,0.5711657055162668,0.7062523404712034,0.424418797639164,3.777432154812384
35.25,4.33,13.53,6.97,2.49,1.59,27.14,7.65,80.52,70.83,35.6,0.59,1.27,90.4,3.28,899.42,10.4,0.07,-1.09,0.4,-1.26,-1.34,-1.12,-3.05,-1.41,-3.43,-1.71,-0.77,-2.37,-0.24,1.19
42.2725,4.9775,15.55,7.31,2.5875,1.7225,29.4275,8.165,92.78,80.4325,39.1275,0.875,1.5625,92.41499999999999,3.855,992.46,13.2125,0.14,-0.45999999999999996,1.7625000000000002,-0.745,-0.6025,-0.4475,-1.415,-0.88,-2.9725,0.815,1.0475,0.515,0.44,10.7975
46.845,5.154999999999999,16.835,7.675000000000001,2.66,1.8,30.365000000000002,8.67,96.96000000000001,86.04499999999999,40.765,1.26,1.795,103.07,4.45,1073.01,14.125,0.165,-0.21000000000000002,2.075,-0.365,-0.36,-0.32,-1.18,-0.665,-2.61,0.9450000000000001,1.2650000000000001,0.59,0.5,11.86
50.83,5.355,18.27,8.049999999999999,2.7525,1.8849999999999998,32.7625,9.0675,105.79,91.93,42.3775,1.475,1.915,114.2,4.8925,1204.4299999999998,17.425,0.215,-0.052500000000000005,2.17,0.04,-0.2175,-0.2275,-0.875,-0.3825,-2.42,1.115,1.4575,0.7975,0.5625,12.9075
50.986,5.422000000000001,18.29,8.086,2.762,1.902,32.922000000000004,9.292,133.02600000000007,92.71600000000001,42.608000000000004,1.5520000000000003,1.9600000000000002,124.78800000000004,5.052,1256.702,18.154000000000003,0.2460000000000001,0.002000000000000011,2.2,0.13,-0.19799999999999993,-0.17199999999999976,-0.824,-0.26399999999999996,-2.292,1.764000000000003,1.6100000000000003,0.824,0.572,13.248
51.7285,5.547499999999999,18.391000000000002,8.11,2.776,1.9129999999999998,32.9405,10.109,190.253,95.27499999999999,43.368,1.6829999999999998,2.083,149.0365,5.074999999999999,1288.4285,20.3815,0.33399999999999974,0.01749999999999993,2.3394999999999997,0.1524999999999998,-0.14850000000000002,0.02449999999999996,-0.797,-0.23850000000000002,-2.1265,4.066,1.7819999999999998,0.8414999999999999,0.583,13.700999999999997
52.488,5.761,18.565,8.113999999999999,2.815,1.934,33.151,10.898000000000001,200.52200000000008,96.915,43.660000000000004,1.7210000000000003,2.108,161.81500000000005,5.184,1328.269,23.250000000000014,0.4790000000000001,0.06100000000000001,2.454,0.2920000000000002,-0.13699999999999998,0.05600000000000009,-0.7699999999999999,-0.2209999999999999,-2.0279999999999996,4.373000000000004,1.854,0.851,0.6070000000000001,15.449000000000003
53.354,5.781,19.087,8.17,2.8615,1.971,34.5385,11.445500000000001,266.46600000000007,98.7065,43.8905,1.9195,2.1860000000000004,198.98800000000003,5.4335,1341.381,32.296,0.5675000000000001,0.07350000000000005,2.5020000000000002,0.5170000000000017,-0.10549999999999994,0.18550000000000108,-0.6404999999999995,-0.13449999999999993,-1.753999999999999,6.955500000000002,1.8915,0.8605,0.737000000000001,18.054000000000002
54.4788,5.9482,19.4974,8.474,2.8843,1.9862,34.9717,11.8331,331.46119999999985,99.2613,44.6581,2.0639,2.2771999999999997,238.02159999999992,5.942699999999999,1391.7081999999998,34.3632,0.6814999999999998,0.12669999999999992,2.6843999999999997,2.295399999999997,-0.03710000000000012,1.3330999999999982,-0.04010000000000101,-0.05090000000000014,-0.598800000000002,8.863099999999998,1.9143,0.8681,1.755399999999998,20.850799999999996
54.76,5.99,19.6,8.55,2.89,1.99,35.08,11.93,347.71,99.4,44.85,2.1,2.3,247.78,6.07,1404.29,34.88,0.71,0.14,2.73,2.74,-0.02,1.62,0.11,-0.03,-0.31,9.34,1.92,0.87,2.01,21.55
19.509999999999998,1.6600000000000001,6.070000000000002,1.580000000000001,0.3999999999999999,0.3999999999999999,7.939999999999998,4.279999999999999,267.19,28.570000000000007,9.25,1.5100000000000002,1.0299999999999998,157.38,2.7900000000000005,504.87,24.480000000000004,0.6399999999999999,1.23,2.33,4.0,1.32,2.74,3.1599999999999997,1.38,3.12,11.05,2.69,3.24,2.25,20.36
0.12719189599532454,0.08204210984735134,0.09798044481615197,0.05712626994803615,0.04509327018596664,0.06286032137204574,0.07262802952782191,0.13233554093294791,0.5525328176244587,0.09745570069955946,0.06271430668287678,0.3467211367737233,0.15179153436396564,0.34766319460563,0.15945215406617694,0.1355381332903693,0.3906896809890272,0.7250643787722519,-1.1026346091925447,0.32596089275104034,-3.6161322121026225,-0.7713393872169726,-1.9552536528260345,-0.5563049752921375,-0.5497647846552106,-0.2597008147163453,1.3952572135281527,0.46342045072313737,1.5746986409614345,0.8670455518675464,0.31259782810430187
8.557499999999997,0.3775000000000004,2.719999999999999,0.7399999999999993,0.16500000000000004,0.16249999999999987,3.3350000000000044,0.9025000000000016,13.010000000000005,11.497500000000002,3.25,0.6000000000000001,0.35250000000000004,21.78500000000001,1.0375,211.9699999999998,4.2125,0.07499999999999998,0.4075,0.40749999999999975,0.785,0.385,0.22,0.54,0.4975,0.5525000000000002,0.30000000000000004,0.4099999999999999,0.2825,0.1225,2.110000000000001
-0.4329328470295125,-0.05541128570470929,-0.29315160926366424,-0.026595011652685678,0.18860787553282948,-0.06288071331215592,0.21559003557149584,1.4378755921037765,2.3236541524763865,-0.08996981702433707,-0.23682021511377996,0.27905929657855555,-0.019497398137443916,2.265736176608101,0.3527221064194029,0.46542270105896033,1.9451492299972146,1.9821440290866783,-0.8599264323647929,-1.124000222363515,2.555942212284156,-1.2067157534070074,2.306425719497366,-0.8504418446457186,-0.11168303405070443,2.08448673194765,1.985407405019657,-2.2217993656683688,-3.6755283539320858,2.239717879536597,-0.2644236136392045
-0.9174808093723406,-0.04855413903061878,-0.7849467536140873,-0.6907107215230384,-0.8704611304674121,-0.9807843031795591,-0.5728945349098411,1.3404564934961272,5.0866112971059,-0.7936119524304228,-0.6009047315602025,-0.5318878908377962,-0.4301898335170762,5.064874148923579,-0.21989665290821714,-0.7858619565595837,3.50402710536153,3.4230822398272256,0.32280170388299156,0.6554173072440106,8.89590489316142,0.8971151251541016,8.588374740870803,1.2518520502820607,-0.3146594822954891,6.420455449282802,4.140308990363235,7.8419808421352535,14.853642302578844,9.186462598241574,4.756018009591541
43.38210903565664,4.964276058773757,16.131231145020315,7.468828570480843,2.6092464881377784,1.7485007059062638,29.739071173809407,8.412567461326494,93.47618367899398,82.02403641292514,39.354470311486764,1.028312977182471,1.657263525258825,98.45969890588313,4.123929653308379,1038.2974266028586,13.599445517271555,0.15030001922223563,-0.4472344202251928,1.580486055680529,-0.6138676493385518,-0.6444325271737229,-0.5218611741808081,-1.6390965450111297,-0.8078138617894284,-2.8554503178573203,0.6204351478526544,0.9651862213653956,0.11796373009169797,0.29086588834945504,10.316107332274003
48.87389096434336,5.360723941226244,17.68176885497968,7.879171429519156,2.721753511862221,1.8544992940937364,31.831928826190598,9.523432538673505,158.68281632100604,89.86396358707484,41.73452968851325,1.4266870228175295,1.910736474741175,136.72730109411685,4.789070346691623,1178.9455733971413,19.68555448272845,0.30469998077776433,-0.1427655797748072,2.1495139443194713,0.15786764933855196,-0.30256747282627716,-0.023138825819191883,-0.9619034549888703,-0.477186138210572,-2.2365496821426802,2.9555648521473463,1.4998137786346044,0.779036269908302,0.688134111650545,13.851892667725997
